iter	RMSE
0	0.5430340953
1	0.5290952047
2	0.5177486941
3	0.5031746448
4	0.4902285121
5	0.4774343876
6	0.4658443353
7	0.4529852359
8	0.4439641156
9	0.4345164932
10	0.4242045412
11	0.4145061358
12	0.4061448345
13	0.3983286431
14	0.3902454745
15	0.3847178608
16	0.3780611042
17	0.3718422103
18	0.3690754901
19	0.362217483
20	0.3575953607
21	0.3508201894
22	0.3440208035
23	0.3385022605
24	0.333182387
25	0.3282391589
26	0.3231657804
27	0.3200177201
28	0.3154611264
29	0.3120328371
30	0.3088820685
31	0.3050649055
32	0.3023408732
33	0.298260816
34	0.2941308371
35	0.2894981167
36	0.2874535509
37	0.2845011325
38	0.2817908392
39	0.2791999061
40	0.2772723252
41	0.2732059705
42	0.2704038634
43	0.268385677
44	0.2656522762
45	0.2642158913
46	0.2625117485
47	0.2600946169
48	0.257433296
49	0.256192714
50	0.2536152216
51	0.2519212008
52	0.2512078186
53	0.249228928
54	0.2468975647
55	0.2455226447
56	0.2433438336
57	0.2415814588
58	0.2402698308
59	0.2391936726
60	0.2368864664
61	0.2353480759
62	0.2331889634
63	0.2320714542
64	0.2300488005
65	0.2296196834
66	0.2282949651
67	0.2271829917
68	0.2255396969
69	0.2240763068
70	0.2231642116
71	0.2221089816
72	0.2211543693
73	0.2200026878
74	0.2189445768
75	0.2175345306
76	0.2160787545
77	0.215625675
78	0.2152742188
79	0.2150878511
80	0.2147543189
81	0.2132574953
82	0.2123661349
83	0.211989047
84	0.2112842955
85	0.2100165916
86	0.2091339147
87	0.2083304624
88	0.2073026883
89	0.2067721037
90	0.2064899616
91	0.2058266305
92	0.2047631575
93	0.2039791586
94	0.2037546162
95	0.2025010698
96	0.2020873972
97	0.2019176084
98	0.2003382625
99	0.1997487431
100	0.1994886283
101	0.1991645365
102	0.1979018652
103	0.1965084818
104	0.195818059
105	0.1950532646
106	0.1944457881
107	0.1941807878
108	0.193483596
109	0.1925907674
110	0.1920028353
111	0.1918702996
112	0.1908279505
113	0.1904303803
114	0.1894595799
115	0.1885429953
116	0.1882800504
117	0.1874849709
118	0.1865297432
119	0.1857172292
120	0.1855975086
121	0.1848151698
122	0.1845406734
123	0.1827522207
124	0.182551254
125	0.1818073667
126	0.180856127
127	0.180012851
128	0.1796040903
129	0.1786984835
130	0.1783972744
131	0.1773552718
132	0.1764008956
133	0.1758902427
134	0.17535198
135	0.1741142612
136	0.174020701
137	0.1736028724
138	0.1725331015
139	0.1724077965
140	0.1718150596
141	0.1713399567
142	0.1708223041
143	0.1702383263
144	0.1689239412
145	0.168230859
146	0.1677725814
