iter	Passed	Remaining
0	231	231763
1	315	157563
2	357	118905
3	394	98214
4	429	85437
5	450	74590
6	493	70076
7	569	70636
8	613	67588
9	667	66117
10	722	64947
11	786	64755
12	847	64353
13	894	62970
14	952	62538
15	1001	61608
16	1100	63611
17	1179	64324
18	1274	65817
19	1320	64702
20	1361	63467
21	1402	62358
22	1449	61575
23	1486	60462
24	1534	59832
25	1580	59200
26	1627	58664
27	1671	58012
28	1731	57979
29	1808	58463
30	1847	57734
31	1921	58133
32	1973	57825
33	2060	58538
34	2198	60619
35	2295	61455
36	2370	61707
37	2437	61699
38	2515	61985
39	2556	61367
40	2606	60969
41	2646	60361
42	2708	60270
43	2727	59268
44	2766	58704
45	2818	58444
46	2863	58059
47	2894	57405
48	2939	57055
49	2987	56771
50	3032	56428
51	3059	55775
52	3070	54861
53	3115	54586
54	3165	54394
55	3233	54514
56	3325	55013
57	3380	54908
58	3440	54868
59	3534	55367
60	3580	55120
61	3622	54798
62	3661	54462
63	3713	54306
64	3761	54104
65	3777	53457
66	3820	53203
67	3891	53333
68	3968	53551
69	4015	53350
70	4073	53306
71	4129	53218
72	4183	53123
73	4235	53001
74	4284	52836
75	4333	52689
76	4379	52498
77	4404	52060
78	4423	51566
79	4441	51076
80	4450	50493
81	4488	50249
82	4541	50180
83	4676	50993
84	4736	50989
85	4793	50942
86	4843	50830
87	4892	50708
88	4952	50698
89	4981	50369
90	4996	49909
91	5087	50210
92	5159	50314
93	5256	50668
94	5286	50357
95	5340	50293
96	5381	50094
97	5398	49687
98	5440	49510
99	5489	49401
100	5558	49475
101	5596	49273
102	5669	49371
103	5777	49776
104	5827	49669
105	5871	49521
106	6127	51136
107	6197	51183
108	6303	51524
109	6413	51892
110	6554	52494
111	6600	52330
112	6709	52669
113	6828	53067
114	6940	53413
115	7068	53867
116	7119	53728
117	7360	55014
118	7478	55364
119	7587	55639
120	7633	55455
121	7875	56680
122	7994	56999
123	8090	57156
124	8200	57403
125	8305	57613
126	8472	58241
127	8592	58533
128	8697	58724
129	8807	58944
130	8914	59135
131	9018	59300
132	9127	59497
133	9238	59703
134	9340	59850
135	9451	60047
136	9488	59771
137	9594	59928
138	9703	60107
139	9737	59816
140	9862	60083
141	10100	61028
142	10310	61788
143	10409	61879
144	10509	61971
145	10616	62098
146	10727	62250
147	10835	62377
148	10941	62489
149	11045	62593
150	11239	63191
151	11344	63287
152	11613	64290
153	11713	64348
154	11818	64432
155	11924	64513
156	12025	64572
157	12178	64900
158	12295	65035
159	12433	65276
160	12534	65318
161	12635	65361
162	12736	65402
163	12842	65462
164	12949	65531
165	13058	65605
166	13171	65699
167	13288	65811
168	13454	66156
169	13560	66209
170	13669	66269
171	13779	66331
172	13878	66346
173	13983	66379
174	14085	66402
175	14191	66440
176	14293	66459
177	14392	66461
178	14616	67038
179	14770	67286
180	14953	67661
181	15093	67836
182	15222	67958
183	15434	68449
184	15543	68473
185	15772	69025
