Manufacturer,Model,Model Year,vehicle_age,mileage_km,km_per_year,Fuel Type,Transmission,Condition,body_type,engine_cc,is_luxury,Colour,location,price_lkr
Honda,Civic,2017,7,82285.0,10285.625,Petrol,Automatic,Used,Unknown,1000,0,silver,Telijjawila,12500000.0
KIA,Sephia,2002,22,162481.0,7064.391304347826,Petrol,Automatic,Used,Sedan,1331,0,gray,Mattegoda,2600000.0
Toyota,Belta,2007,17,166600.0,9255.555555555555,Petrol,Automatic,Used,Saloon,1000,0,silver,Homagama,5500000.0
Nissan,FB 14,1998,26,185000.0,6851.851851851852,Petrol,Automatic,Used,Hatchback,1500,0,silver,Pilimatalawa,3150000.0
Honda,Civic,2003,21,195000.0,8863.636363636364,Petrol,Automatic,Used,Sedan,1500,0,red,Kandy,4900000.0
Toyota,Yaris,2023,1,1200.0,600.0,Petrol,Automatic,Brand New,Hatchback,1200,0,white,Negombo,8900000.0
Toyota,Prius,2014,10,132000.0,12000.0,Petrol,Automatic,Used,Hatchback,1200,0,silver,Colombo Fort (Colombo 01),9500000.0
Toyota,Vitz,2019,5,49000.0,8166.666666666667,Petrol,Automatic,Used,Hatchback,1200,0,white,Colombo Fort (Colombo 01),8300000.0
Daihatsu,Mira,2024,0,2400.0,2400.0,Petrol,Automatic,Brand New,Hatchback,660,0,blue,Kollupitiya (Colombo 03),7200000.0
Toyota,Passo,2009,15,131275.0,8204.6875,Petrol,Automatic,Used,Hatchback,1000,0,silver,Gampaha,4650000.0
Suzuki,Wagon R,2014,10,112000.0,10181.818181818182,Petrol,Automatic,Used,Hatchback,650,0,white,Homagama,5050000.0
Suzuki,Wagon R,2017,7,120000.0,15000.0,Petrol,Automatic,Used,Hatchback,650,0,brown,Katana,6250000.0
Suzuki,Wagon R,2014,10,98000.0,8909.09090909091,Petrol,Automatic,Used,Station wagon,650,0,silver,Alampil,5550000.0
Toyota,Aqua,2012,12,153000.0,11769.23076923077,Petrol,Automatic,Used,Liftback,1490,0,black,Kadawatha,6200000.0
Micro,Panda,2014,10,85000.0,7727.272727272727,Petrol,Manual,Used,Hatchback,1300,0,red,Kahathuduwa,3250000.0
Toyota,Allion,2007,17,260000.0,14444.444444444445,Petrol,Automatic,Used,Sedan,1500,0,red,Homagama,7800000.0
Micro,Panda,2018,6,65600.0,9371.42857142857,Petrol,Tiptronic,Used,Hatchback,1000,0,black,Kaleliya,3850000.0
Subaru,R2,2003,21,182000.0,8272.727272727272,Petrol,Automatic,Used,Hatchback,650,0,gray,Moratuwa,3000000.0
Toyota,Vitz,2007,17,188200.0,10455.555555555555,Petrol,Automatic,Used,Hatchback,1000,0,blue,Ratmalana,5150000.0
Nissan,Primera,2001,23,128887.0,5370.291666666667,Petrol,Automatic,Used,Saloon,1990,0,gold,Galle,4200000.0
Toyota,Roomy,2024,0,4000.0,4000.0,Petrol,Automatic,Brand New,Hatchback,1000,0,white,Kohuwala,10900000.0
Toyota,Vitz,2011,13,115000.0,8214.285714285714,Petrol,Automatic,Used,Hatchback,990,0,black,Kiribathkumbura,6150000.0
Hyundai,Eon,2018,6,65000.0,9285.714285714286,Petrol,Manual,Used,Saloon,814,0,gray,Kelaniya,4500000.0
Toyota,Aqua,2015,9,105000.0,10500.0,Petrol,Automatic,Used,Hatchback,1000,0,black,Nugegoda,8300000.0
Nissan,AD Wagon,2009,15,150000.0,9375.0,Petrol,Automatic,Used,Hatchback,1499,0,silver,Negombo,1275000.0
Chery,QQ,2007,17,85000.0,4722.222222222223,Petrol,Manual,Used,Hatchback,800,0,black,Matugama,1550000.0
Nissan,N 17,2004,20,190000.0,9047.619047619048,Petrol,Automatic,Used,Hatchback,1500,0,beige,Ratnapura,5950000.0
Toyota,Vitz,2019,5,81700.0,13616.666666666666,Petrol,Automatic,Used,Hatchback,1000,0,white,Sainthamaruthu,8650000.0
Toyota,Prius,2013,11,61000.0,5083.333333333333,Hybrid,Automatic,Used,Hatchback,1790,0,white,Yatalamatta,11990000.0
Nissan,Tiida,2008,16,167000.0,9823.529411764706,Petrol,Automatic,Used,Hatchback,1500,0,black,Nawala,6275000.0
Toyota,Belta,2008,16,151000.0,8882.35294117647,Petrol,Automatic,Used,Sedan,1300,0,silver,Dehiwala,6350000.0
Suzuki,Spacia,2018,6,51000.0,7285.714285714285,Hybrid,Automatic,Used,Station wagon,650,0,red,Kurunegala,6795000.0
Perodua,Viva,2010,14,114000.0,7600.0,Petrol,Automatic,Used,Hatchback,1000,0,blue,Gampaha,4200000.0
Mitsubishi,i-MiEV,2013,11,90000.0,7500.0,Electric,Automatic,Used,Saloon,600,0,white,Kiribathgoda,3500000.0
Toyota,Vitz,2007,17,150000.0,8333.333333333334,Petrol,Automatic,Used,Liftback,1000,0,white,Dehiwala,5375000.0
Mercedes Benz,E Class,2013,11,78000.0,6500.0,Hybrid,Automatic,Used,Sedan,2143,1,white,Piliyandala,16000000.0
Honda,Fit,2015,9,90000.0,9000.0,Petrol,Automatic,Used,Hatchback,1500,0,white,Matara,8200000.0
Suzuki,Estilo,2010,14,167000.0,11133.333333333334,Petrol,Manual,Used,Hatchback,1000,0,red,Kahawatta,3450000.0
Audi,A1,2018,6,96000.0,13714.285714285714,Petrol,Automatic,Used,Hatchback,1000,1,black,Katugastota,9000000.0
Suzuki,Swift,2003,21,149000.0,6772.727272727273,Petrol,Automatic,Used,Hatchback,1300,0,silver,Kandy,4150000.0
Perodua,Viva,2011,13,0.0,0.0,Petrol,Automatic,Used,Liftback,660,0,white,Kaduwela,3650000.0
Suzuki,Alto,2006,18,123456.0,6497.684210526316,Petrol,Manual,Used,Convertible,800,0,white,Kurunegala,2650000.0
Toyota,Aqua,2012,12,22000.0,1692.3076923076924,Hybrid,Automatic,Used,Hatchback,1490,0,black,Panadura,6475000.0
Suzuki,Hustler,2017,7,125112.0,15639.0,Petrol,Automatic,Used,Unknown,660,0,red,Ja-Ela,5600000.0
Mitsubishi,eK,2023,1,6600.0,3300.0,Petrol,Automatic,Brand New,Hatchback,660,0,silver,Kottawa,6850000.0
Toyota,Passo,2010,14,200000.0,13333.333333333334,Petrol,Automatic,Used,Hatchback,1000,0,black,Athurugiriya,4975000.0
Toyota,Yaris,2006,18,190000.0,10000.0,Petrol,Automatic,Used,Saloon,1300,0,red,Dehiwala,6000000.0
Mitsubishi,Lancer,1991,33,150000.0,4411.764705882353,Petrol,Manual,Used,Sedan,1600,0,green,Peradeniya,4250000.0
Suzuki,Alto,2015,9,128000.0,12800.0,Petrol,Manual,Used,Hatchback,650,0,blue,Hanwella,3490000.0
Suzuki,Wagon R,2024,0,7600.0,7600.0,Hybrid,Automatic,Brand New,Hatchback,660,0,silver,Ampara,7750000.0
Mitsubishi,Lancer,1989,35,190000.0,5277.777777777777,Petrol,Manual,Used,Sedan,1200,0,white,Peradeniya,1450000.0
Honda,Insight,2011,13,176000.0,12571.42857142857,Hybrid,Automatic,Used,Unknown,1300,0,silver,Galle,7850000.0
Suzuki,Alto,2024,0,9300.0,9300.0,Petrol,Automatic,Reconditioned,Sedan,650,0,silver,Kalagedihena,6575000.0
